title,user,talk_type,description,icon_url,twitter_id,detail_url,talk_date,talk_site,is_adopted,video_url,slide_url
ぼっちiOSエンジニアがアプリ開発〜リリースまでに取り組んできたこと,asmz,15m,"サーバサイドエンジニアは多いけどiOS/Androidなどのネイティブアプリエンジニアは少ない、という会社さんは結構多いのではないでしょうか？

私はこれまで、何の因果か社内やプロジェクトの中でiOSアプリ担当が自分だけ（他のエンジニアはみんなサーバサイド担当）という「ぼっち」環境で数年くらい過ごしてきました。

また、現在仙台に住んでいるということもあり、東京のように頻繁に勉強会が開催されているわけではないため、あんまりiOSエンジニアのお友達が多くなく、情報共有やキャッチアップする機会も少ないという状況です。

このトークでは、そんなぼっちiOSエンジニアが新たなアプリを開発してリリースするためにやってきた以下のような取り組みや、その過程で起きた出来事を余すところなくお伝えし、最終的にはこのiOSDCで少しでも多くのiOSエンジニアのお友達を作りたいと思っています。

- ぼっちだからこそ、自動化・省力化
- ぼっちだからこそ、早めのアウトプット
- ぼっちだけど、APIも設計
- ぼっちなので、デザインもやろう
- ぼっちなのに、Androidも！？
- ぼっちだけど、ぼっちじゃない

もし同じような悩みを抱える方いらっしゃれば、聞いていただけると幸いです。",https://fortee.jp/files/iosdc-japan-2019/speaker/2f60be8a-b54d-4ef7-93c7-096e8c472189.png,_asmz,https://fortee.jp/iosdc-japan-2019/proposal/2178d95d-cb03-4bee-8e82-045d2f795f99,,,False,,
Flutterアプリで環境毎に設定を変えてビルド及び配信まで行う,amu,15m,"近年、Flutterでのアプリ開発が急速に広がりを見せております。

5月のGoogle I/O 2019ではFlutter for WebのTechnical Preview版も発表され、
シングルコードベースのマルチプラットフォームとして、開発元のGoogleもより一層Flutterの普及に力を入れていると言えます。

ここから本題ですが、実際にアプリ開発を行う際、
環境毎に設定を変えてビルド及び配信まで行う環境構築が必須ではないでしょうか。

今回は皆さんご存知のiOSアプリでなくFlutterアプリでの設定方法、
及びBitriseを使用したCI/CDの実現方法についてFlutter初心者の方にも一通り分かるようにお伝えします。

Flutterでの開発経験を通じて、今まで以上にiOS/Android周りに関して
多角的に捉えられるようになるキッカケの一助となれば幸いです。",https://fortee.jp/files/iosdc-japan-2019/speaker/b11daba8-ff07-4c0b-ba31-dc7a6b9b22d1.jpg,yumatan8,https://fortee.jp/iosdc-japan-2019/proposal/1a354dc0-67a3-4a44-8903-2b08df37826f,,,False,,
大規模アプリケーションで技術的負債を抱えたコードと向き合うために行ったことをお話しします,Tamappe,15m,"技術的負債の定義は例えば次のようなケースが存在することを指します。

- depricatedになっているコードが存在するクラス
- Swiftのバージョンが古すぎてバージョンを上げた時のリスクがわからない状態
- 使っていたライブラリが最新バージョンのSwiftに対応していないので長年放置された状態
- ライブラリのバージョンが開発初期のバージョンのまま放置されている状態
- storyboard,xibがAutolayoutに部分的に対応していたり、対応していない状態
- そもそもデグレやデッドロックしている挙動が謎な機能が一部存在する
- Objective-CからSwiftへの書き換え作業
- UIWebViewとかいう過去の遺産
- etc

このような技術的負債が存在してそれに立ち向かわなければならない時のエンジニア的な対応方法と過去のエピソードなどをお話しします。",https://fortee.jp/files/iosdc-japan-2019/speaker/4f755bb4-6d84-477f-831d-faf011ddeaa0.png,tamapppe,https://fortee.jp/iosdc-japan-2019/proposal/cb629717-8735-41d6-9d2c-36cc5bd406be,,,False,,
Firebaseで実現するiOSアプリ開発,Tatsuya Nishikawa,LT_R,"最近Firebaseを使ったサーバーレス開発が話題です。
本トークではFirebaseを使ってアプリを運用してきて得た知見をお話します。

- Firestore
- Cloud Functions
- Remote Config
- Storage
- Authentication",https://fortee.jp/files/iosdc-japan-2019/speaker/ddda9a11-5eee-4f74-a12b-408beade8322.jpg,tatsuya73206018,https://fortee.jp/iosdc-japan-2019/proposal/f8419d09-28a4-41fb-9ed8-2b490dcdab09,,,False,,
簡単！FlutterでiOSのPush通知を出すところまで作ってみよう。,嶽雅也,15m,"Flutterについてご存知でしょうか。
Googleが公式で出しているモバイル向けクロスプラットフォームで、iOS/Andoirdを同一のViewで作成できます。
Android界隈では試してみたなどをよく聞きますが、iOS界隈ではあまり聞きません。
今回、FlutterのインストールからOneSignalを導入して、Push通知を実際に飛ばせるところまでを0から作って、
皆さんに導入の容易さをお伝えできればと思います。",https://fortee.jp/files/iosdc-japan-2019/speaker/b2f77ead-3a7f-4712-b884-a42e64d63139.jpg,azarashi1229,https://fortee.jp/iosdc-japan-2019/proposal/9c163083-f9db-4780-9cde-2723dafd5a5a,,,False,,
GoogleSpeechToTextを活用して音声を動画にした話,ようせい,15m,"# 説明
Radiotalkは、音声配信プラットフォームで、誰でもラジオのようにトークを配信することができます。
最近、ワイヤレスイヤホンが普及などもあり、音声が注目されるようになってきました。
しかし、音声は、以下のような再生までのハードルが高い課題がありました。
・環境によっては今すぐ再生できない(音を出せる環境、ヘッドホンしているかなど)
・再生するトークを選ぶ際に、タイトルや詳細、画像などでしか判断できない(トークのテンションや声などは判断できない)

その課題を解決するために、音声の一部を書き起こして、テロップ動画でシェアできる機能を作成しました。
音声から動画を作成するまでの話と作り方をお話したいと思います。

## 発表内容
・開発の流れ
　・なぜ音声を動画にすることになったのか
　・動画のテンプレートを作るまでの流れ
　・実装の一連の流れ
・音声トリミング方法
・音声の解析方法
　・GoogleSpeechToTextなぜ採用したか
　・GoogleSpeechToTextの仕様
　・GoogleSpeechToText精度
・テロップ動画作成エディタのUI/UX
・静止画動画作成方法
・音声と動画の合成方法",https://fortee.jp/files/iosdc-japan-2019/speaker/540adc60-5c49-4838-b9b9-91e7a2c28048.jpg,fairy_engineer,https://fortee.jp/iosdc-japan-2019/proposal/1c01507d-2dd5-48d8-bcd0-9898e09d3916,,,False,,
iOSとアクセシビリティ,林和弘,15m,"iOSには年に一回のバージョンアップで必ずアップデートされる領域がいくつも存在します。
アクセシビリティもその一つで、年々その機能は強化されており扱いやすくなってきています。

このトークではDynamic Type・Voice OverなどといったiOSのアクセシビリティ機能全般がどのように強化されてきたかの歴史をまとめます。
そして、それを受けて現在どのようなことができるのかを整理したいと思います。
特にOSバージョンによる機能差とメンテナンス性に注目しつつ、できる限り導入していくにはどのように実装をするのがいいのかを議論できればと思います。

本トークをきっかけにアクセシビリティの実装がより広まることを期待します。",https://fortee.jp/files/iosdc-japan-2019/speaker/848f0d06-ffa1-41ab-a36b-dce778f16639.jpg,kazuhiro494949,https://fortee.jp/iosdc-japan-2019/proposal/6c726f7f-0164-4a5f-ac9f-f9b536b4b1a0,,,False,,
型が解決されたSwiftのコードから、オブジェクト指向プログラミングにおける複雑度判定をしたい,林和弘,15m,"オブジェクト指向プログラミング(OOP)には、コードの複雑さを評価するための指標がいくつか存在します。それらはクラス間の関係性から各クラスの構造的な複雑さを評価し、一定のリファクタリング指針を提供しています。

その代表として、CKメトリクスというものが存在します。汎用的な指標のため、様々な言語でツールが実装されているのですが、Swiftへ適用しようとすると言語特有の問題に直面します。一番大きな問題が、型推論です。表現力の高い言語であるSwiftは型の省略がいたるところでされており、素のソースコードを見ただけではクラスがどのクラスに依存しているのかわかりません。

そこで、このトークではコンパイラによって生成された中間言語やIDE用のツールを駆使しながら構造的複雑さの評価を試みます。そして、メトリクスをベースにより良いクラス設計にしていく方法について議論したいと思います。",https://fortee.jp/files/iosdc-japan-2019/speaker/848f0d06-ffa1-41ab-a36b-dce778f16639.jpg,kazuhiro494949,https://fortee.jp/iosdc-japan-2019/proposal/e03c24a6-be68-4082-be70-0e90e9b3a2df,,,False,,
ARKitにおける平面検出のUX,林和弘,15m,"ARKitを利用すると、ほんの少しのコードでAR空間上へ3Dオブジェクトを配置できます。

そのため導入するのは非常に簡単なのですが、実際のアプリを開発するにはいくつかハードルを超えなければなりません。
その一つが「平面検出状態のUX」です。
例えば、カメラが向いている方向に認識された空間があるのか、ユーザーへ直感的に伝える必要があるでしょう。
また、ARKitは様々な状態を常に切り替えながら空間を認識しており、それも伝える必要があります。

このトークではユーザー・カメラ・AR空間の相互作用によって生まれる状態を視覚的に表す方法について議論します。
そして、ARKitの各クラスをどう協調させて実装するかデモを交えて話そうと思います。",https://fortee.jp/files/iosdc-japan-2019/speaker/848f0d06-ffa1-41ab-a36b-dce778f16639.jpg,kazuhiro494949,https://fortee.jp/iosdc-japan-2019/proposal/f17d384f-fe2c-4778-bc26-63b58c7513c8,,,False,,
Appleが提供してきたテスト周りの機能をふりかえる,tarappo,15m,"Appleは年々、テスト周りにおいてもいろいろな機能を提供してきてくれています。

今までにどのタイミングでどのような機能が提供されたか知っていますか？
そして、それはどのようなことが出来るかを知っていますか？

このトークではテスト周りに関するどのような機能をAppleは提供してきたのかWWDC2015の時代からふりかえってみます。
ふりかえりの中では次について説明をします。

 * どのような機能が提供されたか
 * どのような目的のものなのか

そして、この歴史を知ることにより、これから先はどのような変化があるのだろうかという話をします。",https://fortee.jp/files/iosdc-japan-2019/speaker/f91b366d-a45c-4dde-bc23-8d9540b6aa4b.jpg,tarappo,https://fortee.jp/iosdc-japan-2019/proposal/e7597aaf-b628-4ca5-9788-9ad5b4d24a76,,,False,,
